|claim_number|trigger_type |claim_type        |
|------------|-------------|------------------|
|2842085564  |             |                  |
|2842085567  |             |                  |
|2842085577  |             |                  |
|2842085579  |             |                  |
|2876074432  |             |                  |
|2876074844  |             |                  |
|2876077841  |             |                  |
|2876077863  |             |                  |
|2876077966  |             |                  |
|2876077967  |             |                  |
|2876082291  |             |                  |
|2876085444  |             |                  |
|2876085878  |             |                  |
|2876086201  |             |                  |
|2876086202  |             |                  |
|2876087657  |             |                  |
|2876095100  |             |                  |
|2876095102  |             |                  |
|2876096802  |             |                  |
|2876098405  |             |                  |
|2876099735  |             |                  |
|2876100081  |             |                  |
|2876100731  |             |                  |
|2876102297  |             |                  |
|2876107315  |             |                  |
|2876111152  |             |                  |
|2876113395  |             |                  |
|2876114657  |             |                  |
|2876114659  |             |                  |
|2890022028  |             |                  |
|2890023616  |             |                  |
|2890029318  |             |                  |
|2890029319  |             |                  |
|2876117579  |             |                  |
|2876119643  |             |                  |
|2876122389  |             |                  |
|2876123366  |             |                  |
|2876126541  |             |                  |
|2876127291  |             |                  |
|2876127447  |             |                  |
|2876128071  |             |                  |
|2876128090  |             |                  |
|2876129202  |             |                  |
|2876143107  |Query        |NEW               |
|2876142238  |Query        |NEW               |
|2876143371  |Query        |NEW               |
|2876143368  |Query        |NEW               |
|2825183395  |Query        |NEW               |
|2825183377  |Query        |NEW               |
|2892002543  |rejectback   |NEW               |
|2890047675  |Query        |NEW               |
|2825181079  |rejectback   |NEW               |
|2876143657  |Query        |PRE AND POST CLAIM|
|2825183616  |Query        |NEW               |
|2825183601  |Query        |NEW               |
|2825183603  |Query        |NEW               |
|2876143900  |Query        |NEW               |
|2890047996  |Query        |NEW               |
|2876143967  |Query        |NEW               |
|2825183689  |Query        |PRE AND POST CLAIM|
|2876142464  |Approve      |NEW               |
|2890048077  |Query        |NEW               |
|2876144080  |Query        |PRE AND POST CLAIM|
|2890048109  |Query        |NEW               |
|2876144200  |Query        |PRE AND POST CLAIM|
|2883042261  |Query        |NEW               |
|2890048601  |Query        |PRE AND POST CLAIM|
|2846001598  |Query        |NEW               |
|2883042384  |Repudiation  |NEW               |
|2876144088  |Query        |NEW               |
|2876144092  |Query        |NEW               |
|2883042240  |Query        |NEW               |
|2876145069  |Query        |NEW               |
|2876145077  |Approve      |NEW               |
|2825183713  |Query        |PRE AND POST CLAIM|
|2890048643  |Query        |NEW               |
|2883042377  |Query        |NEW               |
|2876145056  |Query        |NEW               |
|2876145278  |Query        |NEW               |
|2883042586  |Query        |NEW               |
|2883042600  |Query        |NEW               |
|2825184363  |Query        |NEW               |
|2825184379  |Query        |NEW               |
|2883042816  |Query        |NEW               |
|2883042689  |Query        |NEW               |
|2883042870  |Query        |NEW               |
|2876145407  |Query        |PRE AND POST CLAIM|
|2872000516  |Approve      |NEW               |
|2876143251  |Query        |PRE AND POST CLAIM|
|2883043048  |Query        |NEW               |
|2876145568  |Query        |NEW               |
|2876145621  |Query        |PRE AND POST CLAIM|
|2883043184  |Query        |NEW               |
|2883043185  |Query        |NEW               |
|2883043304  |Query        |NEW               |
|2876145720  |Query        |NEW               |
|2876144249  |Query        |NEW               |
|2892003002  |Approve      |NEW               |
|2876147437  |Approve      |PRE AND POST CLAIM|
|2876147072  |Approve      |NEW               |
